Category,Criteria,Renewable energy,Vegetation (g),Productivity,Alkalinity (g),Hybrid,Cloud,Albedo,Alkalinity (l),Vegetation (l),Pollution,Hydrology,Ressource management,Protection,Evolution,Relocation Restoration
Seagrass habitats,Warming,5,2,2,5,4,3,5,2,2,2,4,2,2,2,0
Coral reefs,Warming,5,1,1,5,4,2,5,1,1,1,3,1,1,1,0
Mangroves and saltmarshes,Warming,5,4,4,5,5,4,5,4,4,4,5,4,4,4,0
Arctic biota,Warming,5,1,1,5,4,2,5,1,1,1,2,1,1,1,0
Fin fisheries,Warming,5,2,2,5,4,3,5,2,2,2,4,2,2,2,0
Fish aquaculture,Warming,5,2,2,5,4,3,5,2,2,2,4,2,2,2,0
Coastal protection by natural ecosystems,Warming,5,2,2,5,4,3,5,2,2,2,4,2,2,2,0
Bivalves fisheries and aquaculture,Warming,5,2,2,5,4,3,5,2,2,2,4,2,2,2,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Seagrass habitats,Acidification,5,4,4,5,5,0,4,5,5,5,4,4,5,4,0
Coral reefs,Acidification,4,2,2,5,4,0,2,5,4,4,2,2,4,2,0
Mangroves and saltmarshes,Acidification,5,5,5,5,5,0,5,5,5,5,5,5,5,5,0
Arctic biota,Acidification,5,3,3,5,4,0,3,5,4,1,2,3,4,3,0
Fin fisheries,Acidification,5,3,3,5,4,0,3,5,4,5,3,3,4,3,0
Fish aquaculture,Acidification,5,4,4,5,5,0,4,5,5,5,4,4,5,4,0
Coastal protection by natural ecosystems,Acidification,5,3,3,5,4,0,3,5,4,5,3,3,4,3,0
Bivalves fisheries and aquaculture,Acidification,4,2,2,5,4,0,2,5,4,4,2,2,4,2,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Seagrass habitats,Sea level rise,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Coral reefs,Sea level rise,5,3,3,5,4,3,5,3,5,3,4,4,4,3,5
Mangroves and saltmarshes,Sea level rise,4,2,2,4,3,2,4,2,4,2,4,3,3,2,4
Arctic biota,Sea level rise,5,4,4,5,4,4,5,4,5,4,5,4,4,4,5
Fin fisheries,Sea level rise,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Fish aquaculture,Sea level rise,5,4,4,5,4,4,5,4,5,4,5,4,4,4,5
Coastal protection by natural ecosystems,Sea level rise,4,1,1,4,2,1,4,1,4,1,3,2,2,1,4
Bivalves fisheries and aquaculture,Sea level rise,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
